iter	Passed	Remaining
1165	7221	23744
1166	7228	23741
1167	7234	23735
1168	7240	23729
1169	7246	23722
1170	7252	23714
1171	7259	23711
1172	7266	23706
1173	7271	23697
1174	7277	23690
1175	7283	23683
1176	7289	23675
1177	7294	23668
1178	7300	23660
1179	7306	23653
1180	7312	23646
1181	7318	23639
1182	7323	23630
1183	7329	23623
1184	7335	23615
1185	7341	23609
1186	7347	23603
1187	7353	23596
1188	7359	23588
1189	7366	23583
1190	7372	23577
1191	7378	23571
1192	7385	23566
1193	7391	23560
1194	7397	23552
1195	7402	23545
1196	7410	23542
1197	7416	23538
1198	7423	23533
1199	7429	23527
1200	7435	23520
1201	7441	23514
1202	7447	23507
1203	7453	23500
1204	7459	23492
1205	7465	23485
1206	7471	23478
1207	7477	23471
1208	7483	23465
1209	7488	23456
1210	7494	23449
1211	7500	23442
1212	7506	23435
1213	7512	23428
1214	7518	23421
1215	7524	23415
1216	7530	23407
1217	7536	23401
1218	7542	23395
1219	7548	23388
1220	7554	23381
1221	7561	23376
1222	7567	23369
1223	7573	23362
1224	7579	23356
1225	7584	23348
1226	7591	23342
1227	7597	23335
1228	7604	23333
1229	7611	23328
1230	7617	23321
1231	7623	23316
1232	7630	23311
1233	7636	23305
1234	7642	23300
1235	7649	23293
1236	7654	23285
1237	7660	23279
1238	7666	23272
1239	7672	23266
1240	7679	23260
1241	7685	23254
1242	7691	23248
1243	7697	23242
1244	7703	23235
1245	7710	23230
1246	7716	23224
1247	7722	23217
1248	7728	23210
1249	7734	23202
1250	7740	23196
1251	7746	23188
1252	7751	23180
1253	7757	23174
1254	7764	23169
1255	7770	23163
1256	7776	23157
1257	7782	23149
1258	7788	23142
1259	7794	23136
1260	7800	23130
1261	7807	23124
1262	7814	23120
1263	7820	23115
1264	7827	23110
1265	7833	23104
1266	7839	23097
1267	7845	23090
1268	7851	23083
1269	7857	23077
1270	7863	23071
1271	7869	23062
1272	7875	23056
1273	7881	23049
1274	7887	23042
1275	7892	23035
1276	7898	23028
1277	7904	23021
1278	7910	23013
1279	7916	23007
1280	7922	23000
1281	7928	22993
1282	7934	22986
1283	7940	22980
1284	7946	22973
1285	7952	22966
1286	7958	22960
